Nombre,TipoBarrio
AMPLIACION POETA LUGONES,1
NUEVA CORDOBA ANEXA,1
MAIPU 1A SECCION,1
GENERAL PAZ,1
BAJO GENERAL PAZ,1
JUNIORS,1
CERRO NORTE,1
ARGUELLO NORTE,1
VILLA 9 DE JULIO,1
PARQUE REPUBLICA,1
VILLA MARTINEZ,1
AMPLIACION SAN FERNANDO,1
VILLA SAN ISIDRO,1
RESIDENCIAL AMERICA,1
AYACUCHO,1
ALTAMIRA,1
MAIPU 2A SECCION,1
SARMIENTO,1
MARIANO FRAGUEIRO,1
AMPLIACION PANAMERICANO,1
YOFRE NORTE,1
SANTA CLARA DE ASIS,1
PADRE CLARET,1
LOS ANGELES,1
CAMINO A VILLA POSE,2
SACCHI,1
VILLA CORONEL OLMEDO,1
FERREYRA,1
LAS CA�UELAS,2
PIEDRAS BLANCAS,2
QUINTAS DE FLORES,2
EL BALCON,2
EL ROCIO Y LAS CIGARRAS,2
CAMINO A 60 CUADRAS,2
FINCAS DEL SUR,2
GUEMES,1
COMERCIAL,1
TRANVIARIOS,1
ALTO ALBERDI,1
VILLA SAN CARLOS,1
COUNTRY JOCKEY CLUB,2
MALDONADO,1
MAULLER,1
SAN PABLO,1
RESIDENCIAL SAN CARLOS,1
EL REFUGIO,1
LA SALLE,1
CRISOL SUD,1
CABA�A DEL PILAR,1
JARDIN,1
VILLA REVOL ANEXO,1
VILLA REVOL,1
VILLA GENERAL URQUIZA,1
TEODORO FELS,1
JOSE IGNACIO RUCCI,1
VILLA GRAN PARQUE,1
LICEO GENERAL PAZ,1
LICEO GENERAL PAZ,2
MARIA LASTENIA,1
MUTUAL DE LOS DOCENTES,2
SMATA,2
VILLA CENTENARIO,1
SAN MARCELO,1
PARQUE LATINO,1
AMPLIACION VELEZ SARSFIELD,1
LOS OLMOS,1
ALTA CORDOBA,1
DUCASSE,1
GUI�AZU,1
VILLA ALICIA RISLER,1
LA CAROLINA,1
VALLE ESCONDIDO,1
QUINTAS DE ITALIA,1
CAMINO A SAN CARLOS,2
GRANJA DE FUNES,1
LOS BOULEVARES,1
ESTACION FLORES,1
AMPLIACION BENJAMIN MATIENZO,2
TEJAS DEL SUR,2
AMPLIACION KENNEDY,1
KENNEDY,1
JARDIN HIPODROMO,2
ACOSTA,1
COLONIA LOLA,1
SAN JOSE,1
PORTAL DEL JACARANDA,1
ARGUELLO,1
SAN RAMON,2
ITUZAINGO ANEXO,1
ITUZAINGO ANEXO,2
VILLA EUCARISTICA,1
BAJO PALERMO,1
ESCOBAR,1
